clase,IMAGE_ID,ruta_original,ruta_mascara,mediar,mediag,mediab,hhr,ent,b,g1,g2,g3,g4,g5,mean_r_g
Anemic,Image_001,resultados_fase1\Anemic\Image_001_1_original.png,resultados_fase1\Anemic\Image_001_4_mascara.png,164.7441427311048,71.12773257523772,54.4839721595922,0.0,4.98492776019456,97.24419174590726,7.891481399536133,1.1937065124511719,1.9262491464614868,3.6992180347442627,97.24419403076172,93.61640930175781
Anemic,Image_002,resultados_fase1\Anemic\Image_002_1_original.png,resultados_fase1\Anemic\Image_002_4_mascara.png,213.71129070596623,120.48024720703589,109.29051580698835,0.05837889232231994,5.8584522582037915,147.0866650820062,10.69198989868164,3.3719990253448486,1.990803599357605,5.203121185302734,147.086669921875,93.23104095458984
Anemic,Image_005,resultados_fase1\Anemic\Image_005_1_original.png,resultados_fase1\Anemic\Image_005_4_mascara.png,164.90906623235614,87.5321661237785,86.38897937024973,0.4192453854505972,6.237265362835647,110.52388707926167,11.292616844177246,2.7972311973571777,2.3637499809265137,5.316019058227539,110.52388763427734,77.37689971923828
Anemic,Image_007,resultados_fase1\Anemic\Image_007_1_original.png,resultados_fase1\Anemic\Image_007_4_mascara.png,154.16675843624637,90.73688350507355,88.52528907417604,0.1854794305042083,5.577100048382755,109.44883190434987,11.056634902954102,4.874852657318115,1.3747868537902832,5.639158725738525,109.4488296508789,63.429874420166016
Anemic,Image_009,resultados_fase1\Anemic\Image_009_1_original.png,resultados_fase1\Anemic\Image_009_4_mascara.png,192.1241692332631,103.40590047009239,103.19695250445777,0.36180904522613067,5.193275023098412,129.90841303290648,17.004053115844727,3.879396915435791,3.5859944820404053,7.814807891845703,129.90841674804688,88.71826934814453
Anemic,Image_010,resultados_fase1\Anemic\Image_010_1_original.png,resultados_fase1\Anemic\Image_010_4_mascara.png,214.66640388910787,153.46472211273158,130.98738667717777,0.0,5.897983852489597,169.21193010116937,20.136775970458984,2.9760873317718506,4.692346096038818,9.07859992980957,169.21192932128906,61.201683044433594
Anemic,Image_013,resultados_fase1\Anemic\Image_013_1_original.png,resultados_fase1\Anemic\Image_013_4_mascara.png,202.94897724660999,114.26407722362676,75.82004136980005,0.0,5.952122356620212,136.39554125488394,18.956790924072266,4.489312648773193,4.146914005279541,8.916606903076172,136.39553833007812,88.68489837646484
Anemic,Image_015,resultados_fase1\Anemic\Image_015_1_original.png,resultados_fase1\Anemic\Image_015_4_mascara.png,177.89128675478824,104.9325600215808,91.34637172916105,0.0,6.239967040231707,125.20582681413542,21.448070526123047,3.4475317001342773,4.953811168670654,9.719840049743652,125.20582580566406,72.95872497558594
Anemic,Image_016,resultados_fase1\Anemic\Image_016_1_original.png,resultados_fase1\Anemic\Image_016_4_mascara.png,207.43946540880503,151.4986897274633,122.62290356394129,0.0,5.8450612601364345,164.9483752620545,19.399370193481445,1.6014150381088257,4.75331974029541,8.469085693359375,164.94837951660156,55.94077682495117
Anemic,Image_017,resultados_fase1\Anemic\Image_017_1_original.png,resultados_fase1\Anemic\Image_017_4_mascara.png,219.46087626879094,135.185661056148,118.32455351406912,0.0,6.342771390531175,158.45612231787229,15.882179260253906,3.871257781982422,3.1296987533569336,7.435117721557617,158.45611572265625,84.27521514892578
